# SDSS Spec efficiency for SIM = G10smear 
#
# EFF(r)  = 1               (r < 20.3456) 
# EFF(r)  = 1/[ 1 + (r-20.3456)]**0.930191  (r > 20.3456) 
# EFF(g-r)= Gauss[ (g - r + -0.0422527), sig=-0.339447 ] 
# SPECEFF = EFF(r) x EFF(g-r) 
#

NVAR: 2
VARNAMES:  REDSHIFT  SPECEFF  # ensure 100% eff at low redshift 
SPECEFF:  0.00  1.000 
SPECEFF:  0.10  1.000 


NVAR: 3
VARNAMES:    g-r    r    SPECEFF
SPECEFF:   -1.93  23.15   0.2886           
SPECEFF:   -1.93  23.25   0.2817           
SPECEFF:   -1.93  23.35   0.2751           
SPECEFF:   -1.93  23.45   0.2689           
SPECEFF:   -1.93  23.55   0.2629           
SPECEFF:   -1.93  23.65   0.2572           
SPECEFF:   -1.93  23.75   0.2518           
SPECEFF:   -1.93  23.85   0.2466           
SPECEFF:   -1.93  23.95   0.2416           
SPECEFF:   -1.93  24.05   0.2368           
SPECEFF:   -1.93  24.15   0.2322           
SPECEFF:   -1.93  24.25   0.2278           
SPECEFF:   -1.93  24.35   0.2236           
SPECEFF:   -1.93  24.45   0.2195           
SPECEFF:   -1.93  24.55   0.2156           
SPECEFF:   -1.93  24.65   0.2118           
SPECEFF:   -1.93  24.75   0.2082           
SPECEFF:   -1.93  24.85   0.2046           
SPECEFF:   -1.93  24.95   0.2012           
SPECEFF:   -1.88  15.05   1.0000           
SPECEFF:   -1.88  15.15   1.0000           
SPECEFF:   -1.88  15.25   1.0000           
SPECEFF:   -1.88  15.35   1.0000           
SPECEFF:   -1.88  15.45   1.0000           
SPECEFF:   -1.88  15.55   1.0000           
SPECEFF:   -1.88  15.65   1.0000           
SPECEFF:   -1.88  15.75   1.0000           
SPECEFF:   -1.88  15.85   1.0000           
SPECEFF:   -1.88  15.95   1.0000           
SPECEFF:   -1.88  16.05   1.0000           
SPECEFF:   -1.88  16.15   1.0000           
SPECEFF:   -1.88  16.25   1.0000           
SPECEFF:   -1.88  16.35   1.0000           
SPECEFF:   -1.88  16.45   1.0000           
SPECEFF:   -1.88  16.55   1.0000           
SPECEFF:   -1.88  16.65   1.0000           
SPECEFF:   -1.88  16.75   1.0000           
SPECEFF:   -1.88  16.85   1.0000           
SPECEFF:   -1.88  16.95   1.0000           
SPECEFF:   -1.88  17.05   1.0000           
SPECEFF:   -1.88  17.15   1.0000           
SPECEFF:   -1.88  17.25   1.0000           
SPECEFF:   -1.88  17.35   1.0000           
